證券代碼	簡稱	年月日	收盤價
Y9999  	加權指數     	20000622	 8771.77
Y9999  	加權指數     	20000623	 8684.93
Y9999  	加權指數     	20000626	 8529.56
Y9999  	加權指數     	20000627	 8424.17
Y9999  	加權指數     	20000628	 8365.63
Y9999  	加權指數     	20000629	 8120.89
Y9999  	加權指數     	20000630	 8265.09
Y9999  	加權指數     	20000703	 8297.77
Y9999  	加權指數     	20000704	 8052.54
Y9999  	加權指數     	20000705	 8421.74
Y9999  	加權指數     	20000706	 8289.39
Y9999  	加權指數     	20000707	 8173.08
Y9999  	加權指數     	20000710	 8154.67
Y9999  	加權指數     	20000711	 8158.63
Y9999  	加權指數     	20000712	 8059.75
Y9999  	加權指數     	20000713	 8267.66
Y9999  	加權指數     	20000714	 8497.13
Y9999  	加權指數     	20000715	 8518.13
Y9999  	加權指數     	20000717	 8585.52
Y9999  	加權指數     	20000718	 8368.78
Y9999  	加權指數     	20000719	 8411.88
Y9999  	加權指數     	20000720	 8219.53
Y9999  	加權指數     	20000721	 8167.37
Y9999  	加權指數     	20000724	 8064.20
Y9999  	加權指數     	20000725	 7900.39
Y9999  	加權指數     	20000726	 7961.54
Y9999  	加權指數     	20000727	 7956.28
Y9999  	加權指數     	20000728	 8122.11
Y9999  	加權指數     	20000729	 8143.93
Y9999  	加權指數     	20000731	 8114.92
Y9999  	加權指數     	20000801	 7984.65
Y9999  	加權指數     	20000802	 7916.85
Y9999  	加權指數     	20000803	 7844.93
Y9999  	加權指數     	20000804	 7925.20
Y9999  	加權指數     	20000805	 7841.43
Y9999  	加權指數     	20000807	 7715.99
Y9999  	加權指數     	20000808	 7797.78
Y9999  	加權指數     	20000809	 8048.14
Y9999  	加權指數     	20000810	 8024.69
Y9999  	加權指數     	20000811	 7974.65
Y9999  	加權指數     	20000814	 7848.87
Y9999  	加權指數     	20000815	 7845.69
Y9999  	加權指數     	20000816	 8003.53
Y9999  	加權指數     	20000817	 8143.25
Y9999  	加權指數     	20000818	 8176.82
Y9999  	加權指數     	20000819	 8209.07
Y9999  	加權指數     	20000821	 8257.88
Y9999  	加權指數     	20000822	 8118.05
Y9999  	加權指數     	20000824	 8098.84
Y9999  	加權指數     	20000825	 8026.32
Y9999  	加權指數     	20000828	 7845.87
Y9999  	加權指數     	20000829	 7817.49
Y9999  	加權指數     	20000830	 7543.96
Y9999  	加權指數     	20000831	 7616.98
Y9999  	加權指數     	20000901	 7420.06
Y9999  	加權指數     	20000902	 7707.59
Y9999  	加權指數     	20000904	 7803.02
Y9999  	加權指數     	20000905	 7785.62
Y9999  	加權指數     	20000906	 7610.78
Y9999  	加權指數     	20000907	 7430.93
Y9999  	加權指數     	20000908	 7367.99
Y9999  	加權指數     	20000911	 7335.20
Y9999  	加權指數     	20000913	 7391.66
Y9999  	加權指數     	20000914	 7152.29
Y9999  	加權指數     	20000915	 7155.45
Y9999  	加權指數     	20000916	 7053.29
Y9999  	加權指數     	20000918	 6910.14
Y9999  	加權指數     	20000919	 6734.90
Y9999  	加權指數     	20000920	 6880.09
Y9999  	加權指數     	20000921	 6920.90
Y9999  	加權指數     	20000922	 6612.09
Y9999  	加權指數     	20000925	 6677.46
Y9999  	加權指數     	20000926	 6749.03
Y9999  	加權指數     	20000927	 6717.04
Y9999  	加權指數     	20000928	 6564.87
Y9999  	加權指數     	20000929	 6432.36
Y9999  	加權指數     	20000930	 6185.14
Y9999  	加權指數     	20001002	 6024.07
Y9999  	加權指數     	20001003	 6143.44
Y9999  	加權指數     	20001004	 5997.92
Y9999  	加權指數     	20001005	 6029.65
Y9999  	加權指數     	20001006	 6353.67
Y9999  	加權指數     	20001007	 6352.03
Y9999  	加權指數     	20001009	 6209.42
Y9999  	加權指數     	20001011	 6040.55
Y9999  	加權指數     	20001012	 5805.01
Y9999  	加權指數     	20001013	 5876.11
Y9999  	加權指數     	20001016	 5630.95
Y9999  	加權指數     	20001017	 5702.36
Y9999  	加權指數     	20001018	 5432.23
Y9999  	加權指數     	20001019	 5081.28
Y9999  	加權指數     	20001020	 5404.78
Y9999  	加權指數     	20001021	 5599.74
Y9999  	加權指數     	20001023	 5680.95
Y9999  	加權指數     	20001024	 5918.63
Y9999  	加權指數     	20001025	 6023.78
Y9999  	加權指數     	20001026	 5941.85
Y9999  	加權指數     	20001027	 5805.17
Y9999  	加權指數     	20001030	 5659.08
Y9999  	加權指數     	20001031	 5544.18
Y9999  	加權指數     	20001101	 5425.02
Y9999  	加權指數     	20001102	 5626.08
Y9999  	加權指數     	20001103	 5796.08
Y9999  	加權指數     	20001104	 5677.30
Y9999  	加權指數     	20001106	 5657.48
Y9999  	加權指數     	20001107	 5877.77
Y9999  	加權指數     	20001108	 6067.94
Y9999  	加權指數     	20001109	 6089.55
Y9999  	加權指數     	20001110	 6088.74
Y9999  	加權指數     	20001113	 5793.52
Y9999  	加權指數     	20001114	 5772.51
Y9999  	加權指數     	20001115	 5737.02
Y9999  	加權指數     	20001116	 5454.13
Y9999  	加權指數     	20001117	 5351.36
Y9999  	加權指數     	20001118	 5167.35
Y9999  	加權指數     	20001120	 4845.21
Y9999  	加權指數     	20001121	 5103.00
Y9999  	加權指數     	20001122	 5130.61
Y9999  	加權指數     	20001123	 5146.92
Y9999  	加權指數     	20001124	 5419.99
Y9999  	加權指數     	20001127	 5433.78
Y9999  	加權指數     	20001128	 5362.26
Y9999  	加權指數     	20001129	 5319.46
Y9999  	加權指數     	20001130	 5256.93
Y9999  	加權指數     	20001201	 5342.06
Y9999  	加權指數     	20001202	 5277.35
Y9999  	加權指數     	20001204	 5174.02
Y9999  	加權指數     	20001205	 5199.20
Y9999  	加權指數     	20001206	 5170.62
Y9999  	加權指數     	20001207	 5212.73
Y9999  	加權指數     	20001208	 5252.83
Y9999  	加權指數     	20001211	 5284.41
Y9999  	加權指數     	20001212	 5380.09
Y9999  	加權指數     	20001213	 5384.36
Y9999  	加權指數     	20001214	 5320.16
Y9999  	加權指數     	20001215	 5224.74
Y9999  	加權指數     	20001216	 5134.10
Y9999  	加權指數     	20001218	 5055.20
Y9999  	加權指數     	20001219	 5040.25
Y9999  	加權指數     	20001220	 4947.89
Y9999  	加權指數     	20001221	 4817.22
Y9999  	加權指數     	20001222	 4811.22
Y9999  	加權指數     	20001226	 4721.36
Y9999  	加權指數     	20001227	 4614.63
Y9999  	加權指數     	20001228	 4797.14
Y9999  	加權指數     	20001229	 4743.94
Y9999  	加權指數     	20001230	 4739.09
Y9999  	加權指數     	20010102	 4935.28
Y9999  	加權指數     	20010103	 4894.79
Y9999  	加權指數     	20010104	 5136.13
Y9999  	加權指數     	20010105	 5295.53
Y9999  	加權指數     	20010108	 5188.51
Y9999  	加權指數     	20010109	 5376.12
Y9999  	加權指數     	20010110	 5436.78
Y9999  	加權指數     	20010111	 5369.24
Y9999  	加權指數     	20010112	 5339.40
Y9999  	加權指數     	20010115	 5379.66
Y9999  	加權指數     	20010116	 5662.94
Y9999  	加權指數     	20010117	 5769.95
Y9999  	加權指數     	20010118	 5847.91
Y9999  	加權指數     	20010129	 5680.06
Y9999  	加權指數     	20010130	 5792.50
Y9999  	加權指數     	20010131	 5936.20
Y9999  	加權指數     	20010201	 5897.93
Y9999  	加權指數     	20010202	 6049.26
Y9999  	加權指數     	20010205	 5932.42
Y9999  	加權指數     	20010206	 5849.06
Y9999  	加權指數     	20010207	 5693.58
Y9999  	加權指數     	20010208	 5758.60
Y9999  	加權指數     	20010209	 5809.84
Y9999  	加權指數     	20010212	 5847.07
Y9999  	加權指數     	20010213	 6027.49
Y9999  	加權指數     	20010214	 5887.68
Y9999  	加權指數     	20010215	 6104.24
Y9999  	加權指數     	20010216	 6045.67
Y9999  	加權指數     	20010219	 5937.30
Y9999  	加權指數     	20010220	 5971.29
Y9999  	加權指數     	20010221	 5949.96
Y9999  	加權指數     	20010222	 5759.04
Y9999  	加權指數     	20010223	 5726.93
Y9999  	加權指數     	20010226	 5716.02
Y9999  	加權指數     	20010227	 5674.69
Y9999  	加權指數     	20010301	 5499.86
Y9999  	加權指數     	20010302	 5499.54
Y9999  	加權指數     	20010305	 5609.74
Y9999  	加權指數     	20010306	 5635.06
Y9999  	加權指數     	20010307	 5777.13
Y9999  	加權指數     	20010308	 5711.02
Y9999  	加權指數     	20010309	 5680.43
Y9999  	加權指數     	20010312	 5582.67
Y9999  	加權指數     	20010313	 5610.40
Y9999  	加權指數     	20010314	 5658.21
Y9999  	加權指數     	20010315	 5742.74
Y9999  	加權指數     	20010316	 5783.93
Y9999  	加權指數     	20010319	 5641.89
Y9999  	加權指數     	20010320	 5642.70
Y9999  	加權指數     	20010321	 5623.42
Y9999  	加權指數     	20010322	 5730.95
Y9999  	加權指數     	20010323	 5800.55
Y9999  	加權指數     	20010326	 5896.32
Y9999  	加權指數     	20010327	 5884.33
Y9999  	加權指數     	20010328	 5819.39
Y9999  	加權指數     	20010329	 5833.88
Y9999  	加權指數     	20010330	 5797.92
Y9999  	加權指數     	20010402	 5607.73
Y9999  	加權指數     	20010403	 5446.82
Y9999  	加權指數     	20010404	 5405.85
Y9999  	加權指數     	20010406	 5515.13
Y9999  	加權指數     	20010409	 5401.83
Y9999  	加權指數     	20010410	 5353.50
Y9999  	加權指數     	20010411	 5467.75
Y9999  	加權指數     	20010412	 5533.22
Y9999  	加權指數     	20010413	 5495.47
Y9999  	加權指數     	20010416	 5432.28
Y9999  	加權指數     	20010417	 5431.95
Y9999  	加權指數     	20010418	 5508.61
Y9999  	加權指數     	20010419	 5608.50
Y9999  	加權指數     	20010420	 5596.63
Y9999  	加權指數     	20010423	 5597.70
Y9999  	加權指數     	20010424	 5589.34
Y9999  	加權指數     	20010425	 5516.20
Y9999  	加權指數     	20010426	 5518.73
Y9999  	加權指數     	20010427	 5416.67
Y9999  	加權指數     	20010430	 5381.67
Y9999  	加權指數     	20010502	 5304.24
Y9999  	加權指數     	20010503	 5405.54
Y9999  	加權指數     	20010504	 5244.05
Y9999  	加權指數     	20010507	 5229.93
Y9999  	加權指數     	20010508	 5176.71
Y9999  	加權指數     	20010509	 5232.64
Y9999  	加權指數     	20010510	 5122.17
Y9999  	加權指數     	20010511	 5232.72
Y9999  	加權指數     	20010514	 5176.45
Y9999  	加權指數     	20010515	 5158.79
Y9999  	加權指數     	20010516	 5082.02
Y9999  	加權指數     	20010517	 5143.44
Y9999  	加權指數     	20010518	 5111.67
Y9999  	加權指數     	20010521	 4958.61
Y9999  	加權指數     	20010522	 4991.48
Y9999  	加權指數     	20010523	 5209.97
Y9999  	加權指數     	20010524	 5226.79
Y9999  	加權指數     	20010525	 5170.08
Y9999  	加權指數     	20010528	 5079.72
Y9999  	加權指數     	20010529	 5095.26
Y9999  	加權指數     	20010530	 5057.07
Y9999  	加權指數     	20010531	 5048.86
Y9999  	加權指數     	20010601	 5013.96
Y9999  	加權指數     	20010604	 4985.11
Y9999  	加權指數     	20010605	 5065.06
Y9999  	加權指數     	20010606	 5220.44
Y9999  	加權指數     	20010607	 5153.35
Y9999  	加權指數     	20010608	 5226.28
Y9999  	加權指數     	20010611	 5271.30
Y9999  	加權指數     	20010612	 5266.24
Y9999  	加權指數     	20010613	 5209.71
Y9999  	加權指數     	20010614	 5119.19
Y9999  	加權指數     	20010615	 5158.63
Y9999  	加權指數     	20010618	 5070.52
Y9999  	加權指數     	20010619	 5039.98
Y9999  	加權指數     	20010620	 5029.64
Y9999  	加權指數     	20010621	 4984.88
Y9999  	加權指數     	20010622	 4904.34
Y9999  	加權指數     	20010626	 4785.12
Y9999  	加權指數     	20010627	 4825.28
Y9999  	加權指數     	20010628	 4768.55
Y9999  	加權指數     	20010629	 4883.43
Y9999  	加權指數     	20010702	 4886.86
Y9999  	加權指數     	20010703	 4843.82
Y9999  	加權指數     	20010704	 4739.16
Y9999  	加權指數     	20010705	 4709.20
Y9999  	加權指數     	20010706	 4707.01
Y9999  	加權指數     	20010709	 4657.30
Y9999  	加權指數     	20010710	 4616.71
Y9999  	加權指數     	20010711	 4548.29
Y9999  	加權指數     	20010712	 4633.54
Y9999  	加權指數     	20010713	 4485.68
Y9999  	加權指數     	20010716	 4368.69
Y9999  	加權指數     	20010717	 4371.99
Y9999  	加權指數     	20010718	 4219.89
Y9999  	加權指數     	20010719	 4190.78
Y9999  	加權指數     	20010720	 4220.33
Y9999  	加權指數     	20010723	 4151.93
Y9999  	加權指數     	20010724	 4040.77
Y9999  	加權指數     	20010725	 4136.39
Y9999  	加權指數     	20010726	 4300.41
Y9999  	加權指數     	20010727	 4320.59
Y9999  	加權指數     	20010731	 4352.98
Y9999  	加權指數     	20010801	 4354.52
Y9999  	加權指數     	20010802	 4490.19
Y9999  	加權指數     	20010803	 4530.68
Y9999  	加權指數     	20010806	 4470.73
Y9999  	加權指數     	20010807	 4404.00
Y9999  	加權指數     	20010808	 4514.10
Y9999  	加權指數     	20010809	 4448.52
Y9999  	加權指數     	20010810	 4476.91
Y9999  	加權指數     	20010813	 4520.76
Y9999  	加權指數     	20010814	 4589.60
Y9999  	加權指數     	20010815	 4623.11
Y9999  	加權指數     	20010816	 4687.33
Y9999  	加權指數     	20010817	 4638.36
Y9999  	加權指數     	20010820	 4550.36
Y9999  	加權指數     	20010821	 4562.73
Y9999  	加權指數     	20010822	 4487.52
Y9999  	加權指數     	20010823	 4459.76
Y9999  	加權指數     	20010824	 4310.32
Y9999  	加權指數     	20010827	 4384.55
Y9999  	加權指數     	20010828	 4368.38
Y9999  	加權指數     	20010829	 4508.69
Y9999  	加權指數     	20010830	 4503.86
Y9999  	加權指數     	20010831	 4509.44
Y9999  	加權指數     	20010903	 4454.77
Y9999  	加權指數     	20010904	 4493.53
Y9999  	加權指數     	20010905	 4424.91
Y9999  	加權指數     	20010906	 4338.26
Y9999  	加權指數     	20010907	 4302.16
Y9999  	加權指數     	20010910	 4289.10
Y9999  	加權指數     	20010911	 4176.93
Y9999  	加權指數     	20010913	 3952.49
Y9999  	加權指數     	20010914	 3774.62
Y9999  	加權指數     	20010919	 3781.17
Y9999  	加權指數     	20010920	 3698.84
Y9999  	加權指數     	20010921	 3591.85
Y9999  	加權指數     	20010924	 3533.51
Y9999  	加權指數     	20010925	 3493.78
Y9999  	加權指數     	20010926	 3625.53
Y9999  	加權指數     	20010927	 3567.63
Y9999  	加權指數     	20010928	 3636.94
Y9999  	加權指數     	20011002	 3492.12
Y9999  	加權指數     	20011003	 3446.26
Y9999  	加權指數     	20011004	 3493.66
Y9999  	加權指數     	20011005	 3585.46
Y9999  	加權指數     	20011008	 3520.35
Y9999  	加權指數     	20011009	 3618.93
Y9999  	加權指數     	20011011	 3789.93
Y9999  	加權指數     	20011012	 3801.50
Y9999  	加權指數     	20011015	 3712.82
Y9999  	加權指數     	20011016	 3794.86
Y9999  	加權指數     	20011017	 3817.13
Y9999  	加權指數     	20011018	 3811.20
Y9999  	加權指數     	20011019	 3845.62
Y9999  	加權指數     	20011022	 3900.62
Y9999  	加權指數     	20011023	 3874.42
Y9999  	加權指數     	20011024	 3986.67
Y9999  	加權指數     	20011025	 4012.20
Y9999  	加權指數     	20011026	 4043.57
Y9999  	加權指數     	20011029	 4065.10
Y9999  	加權指數     	20011030	 3915.61
Y9999  	加權指數     	20011031	 3903.49
Y9999  	加權指數     	20011101	 3929.69
Y9999  	加權指數     	20011102	 3998.48
Y9999  	加權指數     	20011105	 4080.51
Y9999  	加權指數     	20011106	 4082.92
Y9999  	加權指數     	20011107	 4158.15
Y9999  	加權指數     	20011108	 4135.03
Y9999  	加權指數     	20011109	 4123.78
Y9999  	加權指數     	20011112	 4172.63
Y9999  	加權指數     	20011113	 4136.54
Y9999  	加權指數     	20011114	 4277.70
Y9999  	加權指數     	20011115	 4403.59
Y9999  	加權指數     	20011116	 4446.62
Y9999  	加權指數     	20011119	 4548.63
Y9999  	加權指數     	20011120	 4455.80
Y9999  	加權指數     	20011121	 4533.37
Y9999  	加權指數     	20011122	 4450.02
Y9999  	加權指數     	20011123	 4519.08
Y9999  	加權指數     	20011126	 4608.32
Y9999  	加權指數     	20011127	 4580.33
Y9999  	加權指數     	20011128	 4447.58
Y9999  	加權指數     	20011129	 4465.83
Y9999  	加權指數     	20011130	 4441.12
Y9999  	加權指數     	20011203	 4646.61
Y9999  	加權指數     	20011204	 4766.43
Y9999  	加權指數     	20011205	 4924.56
Y9999  	加權指數     	20011206	 5208.86
Y9999  	加權指數     	20011207	 5333.93
Y9999  	加權指數     	20011210	 5321.28
Y9999  	加權指數     	20011211	 5273.97
Y9999  	加權指數     	20011212	 5539.31
Y9999  	加權指數     	20011213	 5407.54
Y9999  	加權指數     	20011214	 5486.73
Y9999  	加權指數     	20011217	 5456.15
Y9999  	加權指數     	20011218	 5329.19
Y9999  	加權指數     	20011219	 5221.96
Y9999  	加權指數     	20011220	 5309.10
Y9999  	加權指數     	20011221	 5109.24
Y9999  	加權指數     	20011224	 5164.73
Y9999  	加權指數     	20011225	 5372.81
Y9999  	加權指數     	20011226	 5392.43
Y9999  	加權指數     	20011227	 5332.98
Y9999  	加權指數     	20011228	 5398.28
Y9999  	加權指數     	20011231	 5551.24
Y9999  	加權指數     	20020102	 5600.05
Y9999  	加權指數     	20020103	 5526.32
Y9999  	加權指數     	20020104	 5638.53
Y9999  	加權指數     	20020107	 5834.89
Y9999  	加權指數     	20020108	 5810.08
Y9999  	加權指數     	20020109	 5865.54
Y9999  	加權指數     	20020110	 5871.28
Y9999  	加權指數     	20020111	 5687.59
Y9999  	加權指數     	20020114	 5611.86
Y9999  	加權指數     	20020115	 5592.74
Y9999  	加權指數     	20020116	 5488.33
Y9999  	加權指數     	20020117	 5501.13
Y9999  	加權指數     	20020118	 5522.80
Y9999  	加權指數     	20020121	 5798.05
Y9999  	加權指數     	20020122	 5804.10
Y9999  	加權指數     	20020123	 5769.78
Y9999  	加權指數     	20020124	 5801.92
Y9999  	加權指數     	20020125	 5950.64
Y9999  	加權指數     	20020128	 6007.33
Y9999  	加權指數     	20020129	 5846.19
Y9999  	加權指數     	20020130	 5812.67
Y9999  	加權指數     	20020131	 5872.14
Y9999  	加權指數     	20020201	 5857.93
Y9999  	加權指數     	20020204	 5849.85
Y9999  	加權指數     	20020205	 5844.25
Y9999  	加權指數     	20020206	 5926.08
Y9999  	加權指數     	20020218	 5968.61
Y9999  	加權指數     	20020219	 5861.66
Y9999  	加權指數     	20020220	 5692.18
Y9999  	加權指數     	20020221	 5656.10
Y9999  	加權指數     	20020222	 5609.83
Y9999  	加權指數     	20020225	 5510.71
Y9999  	加權指數     	20020226	 5499.79
Y9999  	加權指數     	20020227	 5696.11
Y9999  	加權指數     	20020301	 5680.78
Y9999  	加權指數     	20020304	 5874.48
Y9999  	加權指數     	20020305	 5957.75
Y9999  	加權指數     	20020306	 6097.57
Y9999  	加權指數     	20020307	 6048.15
Y9999  	加權指數     	20020308	 6011.65
Y9999  	加權指數     	20020311	 6196.26
Y9999  	加權指數     	20020312	 6122.54
Y9999  	加權指數     	20020313	 6088.34
Y9999  	加權指數     	20020314	 6070.50
Y9999  	加權指數     	20020315	 5951.45
Y9999  	加權指數     	20020318	 5972.11
Y9999  	加權指數     	20020319	 5906.73
Y9999  	加權指數     	20020320	 6059.06
Y9999  	加權指數     	20020321	 6046.52
Y9999  	加權指數     	20020322	 6140.42
Y9999  	加權指數     	20020325	 6219.17
Y9999  	加權指數     	20020326	 6242.64
Y9999  	加權指數     	20020327	 6147.75
Y9999  	加權指數     	20020328	 6209.92
Y9999  	加權指數     	20020329	 6167.47
Y9999  	加權指數     	20020401	 6186.44
Y9999  	加權指數     	20020402	 6243.46
Y9999  	加權指數     	20020403	 6294.66
Y9999  	加權指數     	20020404	 6207.09
Y9999  	加權指數     	20020408	 6190.83
Y9999  	加權指數     	20020409	 6069.85
Y9999  	加權指數     	20020410	 6059.21
Y9999  	加權指數     	20020411	 6073.76
Y9999  	加權指數     	20020412	 6182.59
Y9999  	加權指數     	20020415	 6196.00
Y9999  	加權指數     	20020416	 6257.73
Y9999  	加權指數     	20020417	 6390.68
Y9999  	加權指數     	20020418	 6387.21
Y9999  	加權指數     	20020419	 6448.12
Y9999  	加權指數     	20020422	 6462.30
Y9999  	加權指數     	20020423	 6390.62
Y9999  	加權指數     	20020424	 6455.39
Y9999  	加權指數     	20020425	 6355.59
Y9999  	加權指數     	20020426	 6306.93
Y9999  	加權指數     	20020429	 6205.09
Y9999  	加權指數     	20020430	 6065.73
Y9999  	加權指數     	20020502	 5867.83
Y9999  	加權指數     	20020503	 5910.32
Y9999  	加權指數     	20020506	 5642.48
Y9999  	加權指數     	20020507	 5663.98
Y9999  	加權指數     	20020508	 5711.53
Y9999  	加權指數     	20020509	 5739.28
Y9999  	加權指數     	20020510	 5807.30
Y9999  	加權指數     	20020513	 5742.66
Y9999  	加權指數     	20020514	 5755.92
Y9999  	加權指數     	20020515	 5910.69
Y9999  	加權指數     	20020516	 5801.47
Y9999  	加權指數     	20020517	 5789.84
Y9999  	加權指數     	20020520	 5574.71
Y9999  	加權指數     	20020521	 5443.18
Y9999  	加權指數     	20020522	 5541.64
Y9999  	加權指數     	20020523	 5549.96
Y9999  	加權指數     	20020524	 5706.40
Y9999  	加權指數     	20020527	 5729.90
Y9999  	加權指數     	20020528	 5669.53
Y9999  	加權指數     	20020529	 5623.23
Y9999  	加權指數     	20020530	 5736.19
Y9999  	加權指數     	20020531	 5675.65
Y9999  	加權指數     	20020603	 5571.08
Y9999  	加權指數     	20020604	 5527.80
Y9999  	加權指數     	20020605	 5599.42
Y9999  	加權指數     	20020606	 5591.02
Y9999  	加權指數     	20020607	 5433.02
Y9999  	加權指數     	20020610	 5499.33
Y9999  	加權指數     	20020611	 5405.42
Y9999  	加權指數     	20020612	 5399.96
Y9999  	加權指數     	20020613	 5562.23
Y9999  	加權指數     	20020614	 5562.12
Y9999  	加權指數     	20020617	 5537.81
Y9999  	加權指數     	20020618	 5536.42
Y9999  	加權指數     	20020619	 5399.50
Y9999  	加權指數     	20020620	 5445.77
Y9999  	加權指數     	20020621	 5460.53
Y9999  	加權指數     	20020624	 5384.89
Y9999  	加權指數     	20020625	 5316.04
Y9999  	加權指數     	20020626	 5123.04
Y9999  	加權指數     	20020627	 5071.76
Y9999  	加權指數     	20020628	 5153.71
Y9999  	加權指數     	20020701	 4969.32
Y9999  	加權指數     	20020702	 4995.08
